from,to,flow,cost
0,225,1.0,631.0
0,1324,42.0,7.0
0,2106,1.0,203.0
1,0,17.0,12.0
1,1738,2.0,7.0
1,2128,1.0,92.0
1,3735,1.0,247.0
1,4150,1.0,304.0
2,713,1.0,488.0
2,1739,20.0,7.0
2,2561,1.0,508.0
3,2,8.0,24.0
3,73,1.0,390.0
3,1024,2.0,7.0
3,3785,1.0,383.0
3,3998,1.0,219.0
4,358,2.0,408.0
4,442,24.0,15.0
4,1573,1.0,525.0
4,2517,4.0,564.0
4,2671,1.0,552.0
4,4159,1.0,517.0
4,4245,1.0,371.0
5,4,21.0,5.0
5,2256,1.0,532.0
5,2370,1.0,580.0
5,3637,1.0,23.0
6,5,9.0,12.0
6,897,1.0,483.0
6,907,1.0,502.0
6,1025,1.0,7.0
6,1691,1.0,504.0
6,1709,1.0,611.0
6,2320,1.0,122.0
6,2564,1.0,496.0
6,2709,1.0,497.0
6,3987,1.0,435.0
6,4369,1.0,500.0
6,4370,1.0,499.0
7,587,1.0,287.0
7,1577,1.0,396.0
7,2313,3.0,7.0
7,2356,1.0,409.0
7,2461,1.0,294.0
7,2723,1.0,354.0
7,2863,3.0,301.0
7,3874,1.0,467.0
7,4427,1.0,279.0
8,108,1.0,165.0
8,248,1.0,455.0
8,598,1.0,389.0
8,1015,1.0,351.0
8,1178,1.0,344.0
8,1527,1.0,225.0
8,1530,1.0,271.0
8,2190,1.0,421.0
8,2360,1.0,373.0
8,2560,1.0,365.0
8,3694,1.0,224.0
8,3737,1.0,208.0
8,4502,2.0,451.0
8,4543,1.0,393.0
9,338,1.0,449.0
9,626,1.0,456.0
9,694,1.0,449.0
9,695,1.0,428.0
9,953,1.0,695.0
9,1266,1.0,453.0
9,1678,1.0,356.0
9,1791,1.0,130.0
9,1826,3.0,276.0
9,1850,1.0,327.0
9,2320,1.0,204.0
9,2336,1.0,341.0
9,2559,1.0,355.0
9,4506,2.0,449.0
10,337,4.0,466.0
10,993,1.0,373.0
10,1609,2.0,233.0
10,1892,1.0,214.0
10,2266,1.0,259.0
10,2566,1.0,275.0
10,2618,1.0,226.0
