passenger,line,mod_cost
0,87,47.0
1,327,37.0
2,94,98.0
3,636,91.0
4,787,75.0
5,17,62.0
6,493,27.0
7,841,34.0
8,585,94.0
9,553,81.0
10,936,112.0
11,979,39.0
12,389,70.0
13,608,14.0
14,87,13.0
15,405,105.0
16,936,89.0
17,186,46.0
18,585,49.0
19,275,42.0
20,498,104.0
21,888,68.0
22,123,52.0
23,188,28.0
24,330,82.0
25,497,49.0
26,793,46.0
27,751,39.0
28,672,32.0
29,180,46.0
30,830,70.0
31,378,26.0
32,276,25.0
33,688,80.0
34,210,73.0
35,619,14.0
36,276,27.0
37,470,114.0
38,42,43.0
39,699,122.0
40,50,38.0
41,213,13.0
42,21,50.0
43,5,49.0
44,222,49.0
45,no_MT,21.0
46,551,78.0
47,no_MT,89.0
48,810,27.0
49,29,35.0
50,223,141.0
51,13,41.0
52,319,130.0
53,977,44.0
54,699,40.0
55,821,19.0
56,903,51.0
57,541,321.0
58,898,43.0
59,631,80.0
60,898,88.0
61,876,129.0
62,656,33.0
63,883,58.0
64,793,57.0
65,728,37.0
66,608,111.0
67,728,40.0
68,361,57.0
69,32,32.0
70,582,63.0
71,726,91.0
72,741,58.0
73,435,53.0
74,473,105.0
75,232,87.0
76,836,48.0
77,508,23.0
78,602,35.0
79,964,42.0
80,89,57.0
81,808,28.0
82,963,29.0
83,164,74.0
84,425,74.0
85,243,121.0
86,368,26.0
87,394,50.0
88,542,51.0
89,451,15.0
90,951,38.0
91,854,58.0
92,50,50.0
93,769,111.0
94,809,56.0
95,862,70.0
96,185,129.0
97,no_MT,60.0
98,304,59.0
99,306,95.0
100,812,43.0
101,859,22.0
102,637,98.0
103,126,84.0
104,907,40.0
105,665,56.0
106,108,52.0
107,789,51.0
108,311,29.0
109,500,46.0
110,94,61.0
111,622,49.0
112,740,42.0
113,876,48.0
114,711,35.0
115,813,62.0
116,175,32.0
117,447,37.0
118,374,42.0
119,453,14.0
120,657,66.0
121,no_MT,51.0
122,175,65.0
123,732,31.0
124,18,82.0
125,870,53.0
126,319,87.0
127,994,94.0
128,549,26.0
129,no_MT,43.0
130,185,124.0
131,133,98.0
132,952,7.0
133,664,64.0
134,97,98.0
135,720,90.0
136,17,63.0
137,581,67.0
138,424,135.0
139,748,42.0
140,491,65.0
141,870,64.0
142,0,66.0
143,483,66.0
144,64,14.0
145,892,77.0
146,33,40.0
147,423,36.0
148,786,77.0
149,122,32.0
150,676,107.0
151,644,28.0
152,267,136.0
153,745,93.0
154,409,79.0
155,401,92.0
156,903,70.0
157,558,48.0
158,866,56.0
159,5,64.0
160,164,70.0
161,765,62.0
162,347,25.0
163,261,24.0
164,880,62.0
165,380,63.0
166,258,39.0
167,886,29.0
168,773,35.0
169,310,86.0
170,394,73.0
171,949,68.0
172,925,70.0
173,494,57.0
174,951,9.0
175,698,49.0
176,871,103.0
177,683,35.0
178,817,47.0
179,920,30.0
180,79,73.0
181,501,64.0
182,236,88.0
183,166,68.0
184,126,51.0
185,907,60.0
186,821,8.0
187,13,39.0
188,869,32.0
189,244,184.0
190,387,92.0
191,977,57.0
192,120,114.0
193,377,60.0
194,943,11.0
195,613,40.0
196,608,57.0
197,549,63.0
198,672,26.0
199,548,93.0
200,244,96.0
201,614,53.0
202,977,30.0
203,760,46.0
204,539,59.0
205,489,28.0
206,239,39.0
207,425,62.0
208,470,78.0
209,no_MT,57.0
210,440,97.0
211,136,53.0
212,119,91.0
213,135,0.0
214,233,90.0
215,712,33.0
216,118,42.0
217,423,56.0
218,236,67.0
219,956,0.0
220,16,55.0
221,956,54.0
222,742,57.0
223,498,91.0
224,872,61.0
225,758,38.0
226,247,55.0
227,508,75.0
228,670,87.0
229,188,35.0
230,973,49.0
