from,to,flow,cost
1,1738,1.0,7.0
2,1,1.0,12.0
2,3637,3.0,59.0
5,3782,1.0,7.0
7,312,1.0,15.0
7,3803,1.0,67.0
16,1177,1.0,80.0
16,4490,1.0,15.0
17,1149,1.0,14.0
17,1666,1.0,31.0
19,3784,2.0,1.0
20,19,1.0,9.0
20,3803,1.0,26.0
21,2110,1.0,23.0
22,2653,1.0,171.0
23,2184,1.0,8.0
25,2298,1.0,15.0
31,4388,1.0,177.0
33,4423,1.0,45.0
34,33,1.0,10.0
34,36,1.0,58.0
34,361,1.0,46.0
34,404,1.0,8.0
34,884,1.0,56.0
34,1991,1.0,48.0
34,2083,1.0,33.0
34,2567,1.0,115.0
34,3939,1.0,33.0
36,4486,2.0,7.0
37,1991,1.0,120.0
37,3856,1.0,16.0
39,40,2.0,24.0
40,1632,1.0,7.0
40,2165,1.0,14.0
41,2164,1.0,36.0
42,414,1.0,136.0
42,428,1.0,18.0
52,2294,3.0,195.0
55,335,1.0,161.0
56,57,1.0,31.0
57,279,1.0,82.0
57,565,1.0,126.0
57,926,1.0,99.0
57,1106,1.0,50.0
57,1130,1.0,61.0
57,1482,1.0,129.0
57,1485,1.0,134.0
57,1699,1.0,90.0
57,1718,3.0,27.0
57,2027,1.0,41.0
57,2029,1.0,42.0
57,2139,1.0,68.0
57,2368,1.0,62.0
57,3136,1.0,56.0
57,3187,1.0,26.0
57,4065,1.0,83.0
57,4448,1.0,73.0
61,3377,2.0,16.0
61,3431,1.0,60.0
63,420,2.0,48.0
66,1291,1.0,19.0
66,3431,1.0,39.0
66,4341,1.0,14.0
66,4461,2.0,8.0
68,2843,1.0,33.0
71,1087,1.0,31.0
75,614,1.0,53.0
75,931,1.0,49.0
75,1361,1.0,41.0
79,1821,1.0,25.0
79,2996,1.0,93.0
79,4200,2.0,17.0
82,1037,1.0,6.0
82,4057,3.0,13.0
88,158,3.0,6.0
90,1680,1.0,56.0
90,3265,2.0,46.0
91,1680,1.0,45.0
91,3436,1.0,12.0
98,282,1.0,57.0
99,1829,3.0,4.0
100,769,1.0,40.0
103,3291,1.0,90.0
106,2955,1.0,56.0
108,133,1.0,8.0
108,139,1.0,29.0
114,1508,1.0,43.0
117,280,1.0,7.0
120,4551,1.0,34.0
124,3588,1.0,39.0
125,1161,2.0,24.0
129,4551,1.0,13.0
133,108,1.0,8.0
135,1626,2.0,76.0
139,1322,1.0,15.0
144,420,1.0,41.0
144,3251,1.0,101.0
150,4003,1.0,53.0
157,1294,1.0,50.0
157,4425,1.0,21.0
158,1871,1.0,47.0
158,2774,2.0,49.0
158,3110,1.0,27.0
166,291,2.0,26.0
167,291,3.0,41.0
170,479,1.0,15.0
171,172,1.0,7.0
172,173,2.0,7.0
173,172,1.0,7.0
173,483,2.0,14.0
174,173,1.0,10.0
174,179,1.0,49.0
179,2837,1.0,34.0
179,3211,1.0,63.0
