line,frequency,line_cost
0,0,1296.0
1,0,1086.0
2,0,580.0
3,0,1159.0
4,0,876.0
5,0,644.0
6,0,956.0
7,0,357.0
8,0,1076.0
9,0,1817.0
10,0,479.0
11,0,604.0
12,0,314.0
13,0,1092.0
14,0,1621.0
15,0,1142.0
16,0,1269.0
17,0,682.0
18,0,1044.0
19,0,942.0
20,0,373.0
21,0,912.0
22,0,838.0
23,0,406.0
24,0,728.0
25,0,490.0
26,0,1093.0
27,0,446.0
28,0,787.0
29,0,558.0
30,0,1195.0
31,0,1087.0
32,0,900.0
33,0,782.0
34,0,750.0
35,0,1298.0
36,0,1104.0
37,0,521.0
38,0,1235.0
39,0,317.0
40,0,1135.0
41,0,913.0
42,0,518.0
43,0,767.0
44,0,520.0
45,0,730.0
46,0,629.0
47,0,563.0
48,0,1007.0
49,0,682.0
50,0,802.0
51,0,528.0
52,0,713.0
53,0,944.0
54,0,409.0
55,0,404.0
56,0,417.0
57,0,586.0
58,0,430.0
59,0,893.0
60,0,346.0
61,0,721.0
62,0,510.0
63,0,1333.0
64,0,706.0
65,0,741.0
66,0,1405.0
67,0,858.0
68,0,366.0
69,0,953.0
70,0,1672.0
71,0,708.0
72,0,1324.0
73,0,855.0
74,0,980.0
75,0,943.0
76,0,350.0
77,0,798.0
78,0,908.0
79,0,618.0
80,0,979.0
81,0,900.0
82,0,884.0
83,0,706.0
84,0,712.0
85,0,515.0
86,0,1109.0
87,0,1033.0
88,0,1585.0
89,0,708.0
90,0,740.0
91,0,395.0
92,0,811.0
93,0,558.0
94,0,940.0
95,0,1304.0
96,0,938.0
97,0,1149.0
98,0,1081.0
99,0,527.0
