line,frequency,line_cost
1,0,1086.0
2,0,580.0
4,0,876.0
5,0,644.0
6,0,956.0
8,0,1076.0
9,0,1817.0
10,0,479.0
11,0,604.0
12,0,314.0
13,0,1092.0
16,0,1269.0
17,0,682.0
18,0,1044.0
19,0,942.0
21,0,912.0
22,0,838.0
25,0,490.0
26,0,1093.0
27,0,446.0
28,0,787.0
29,0,558.0
30,0,1195.0
32,0,900.0
33,0,782.0
37,0,521.0
41,0,913.0
42,0,518.0
44,0,520.0
45,0,730.0
50,0,802.0
51,0,528.0
52,0,713.0
53,0,944.0
55,0,404.0
56,0,417.0
57,0,586.0
61,0,721.0
62,0,510.0
64,0,706.0
68,0,366.0
69,0,953.0
70,0,1672.0
72,0,1324.0
73,0,855.0
75,0,943.0
76,0,350.0
79,0,618.0
80,0,979.0
82,0,884.0
83,0,706.0
84,0,712.0
85,0,515.0
86,0,1109.0
87,0,1033.0
89,0,708.0
90,0,740.0
91,0,395.0
92,0,811.0
94,0,940.0
95,0,1304.0
96,0,938.0
98,0,1081.0
99,0,527.0
