passenger,line,mod_cost
0,Dropped,0.0
1,no_MT,187.0
2,Dropped,0.0
3,no_MT,189.0
4,Dropped,0.0
5,no_MT,182.0
6,5,268.0
7,5,77.0
8,no_MT,115.0
9,no_MT,176.0
10,9,228.0
11,9,138.0
12,no_MT,185.0
13,no_MT,108.0
14,no_MT,236.0
15,Dropped,0.0
16,5,143.0
17,5,208.0
18,no_MT,71.0
19,no_MT,117.0
20,9,136.0
21,no_MT,150.0
22,no_MT,246.0
23,5,149.0
24,Dropped,0.0
25,9,147.0
26,no_MT,187.0
27,no_MT,183.0
28,9,180.0
29,no_MT,215.0
30,no_MT,259.0
31,9,50.0
32,5,229.0
33,Dropped,0.0
34,5,192.0
35,no_MT,113.0
36,no_MT,211.0
37,9,258.0
38,5,90.0
39,Dropped,0.0
40,no_MT,304.0
41,9,101.0
42,no_MT,98.0
43,5,49.0
44,9,153.0
45,no_MT,21.0
46,no_MT,301.0
47,no_MT,89.0
48,9,221.0
49,9,143.0
50,no_MT,229.0
51,9,146.0
52,Dropped,0.0
53,Dropped,0.0
54,no_MT,235.0
55,no_MT,205.0
56,9,420.0
57,Dropped,0.0
58,5,235.0
59,Dropped,0.0
60,9,324.0
61,Dropped,0.0
62,5,251.0
63,5,226.0
64,no_MT,114.0
65,9,171.0
66,no_MT,191.0
67,Dropped,0.0
68,5,180.0
69,5,102.0
70,9,208.0
71,no_MT,136.0
72,no_MT,368.0
73,no_MT,305.0
74,Dropped,0.0
75,no_MT,237.0
76,no_MT,63.0
77,no_MT,30.0
78,9,180.0
79,no_MT,265.0
80,no_MT,256.0
81,no_MT,88.0
82,5,304.0
83,no_MT,247.0
84,5,165.0
85,Dropped,0.0
86,no_MT,211.0
87,no_MT,290.0
88,Dropped,0.0
89,no_MT,255.0
90,no_MT,104.0
91,Dropped,0.0
92,no_MT,440.0
93,9,255.0
94,no_MT,105.0
95,no_MT,166.0
96,Dropped,0.0
97,no_MT,60.0
98,no_MT,99.0
99,no_MT,211.0
100,9,95.0
101,no_MT,199.0
102,no_MT,216.0
103,9,281.0
104,no_MT,179.0
105,no_MT,130.0
106,no_MT,117.0
107,no_MT,390.0
108,no_MT,93.0
109,no_MT,187.0
110,5,383.0
111,Dropped,0.0
112,no_MT,118.0
113,5,106.0
114,5,66.0
115,no_MT,289.0
116,no_MT,145.0
117,no_MT,176.0
118,9,113.0
119,5,126.0
120,no_MT,145.0
121,no_MT,51.0
122,no_MT,160.0
123,no_MT,86.0
124,no_MT,332.0
125,9,229.0
126,9,264.0
127,9,94.0
128,9,233.0
129,no_MT,43.0
